score_clean,score_degraded,weight_clean,weight_degraded
-0.20369583,2.940916,0.25112078,0.13252714
-0.86760825,2.9997108,0.32152653,0.152698
-0.8336005,2.9999998,0.23354016,0.10462798
-0.8496192,2.9999924,0.30086523,0.14117268
-0.83162796,2.996615,0.5124325,0.28754848
-0.9245353,2.999973,0.46412385,0.24510741
-0.9301393,2.9804342,0.3283181,0.15532328
-0.8806449,2.9968998,0.23607382,0.10492019
-0.8551501,2.999237,0.3027898,0.14213797
-0.82051516,2.999559,0.23345445,0.10490022
-0.84829026,2.999992,0.23476009,0.10492178
-0.8796176,2.9967237,0.2356242,0.10471434
-0.87717444,2.9987059,0.23598662,0.10491386
-0.8568651,2.9999924,0.23425417,0.10445669
-0.7982366,2.999961,0.29792055,0.14102906
-0.8267896,2.9999151,0.30104738,0.14197388
-0.86357975,2.806622,0.31975326,0.15809695
-0.89441746,2.999383,0.23611301,0.10455951
-0.84197634,2.9997406,0.3013692,0.14170316
-0.84692377,2.9999995,0.4608606,0.24626932
-0.9011984,2.9998899,0.32820696,0.15556844
-0.8279305,2.9969656,0.23299131,0.10454438
-0.86542463,2.999991,0.3009235,0.14072783
-0.80820584,2.9978564,0.2981826,0.14094263
-0.68582314,2.9945595,0.44892746,0.24506637
-0.56180185,2.9902277,0.2976336,0.14847662
0.009012821,2.9999976,0.18514062,0.097119674
-0.065018214,2.999787,0.18765745,0.09695677
0.05103057,2.9753528,0.1820758,0.09678862
0.32368153,2.9999852,0.22079752,0.12673944
0.35649604,2.9992537,0.17046498,0.09595282
0.57995176,2.999999,0.1629952,0.09611812
0.6054902,2.9996722,0.23124781,0.14187247
0.6838118,2.9991093,0.15981402,0.09635155
0.8204689,2.9999783,0.22348797,0.14303203
1.376551,2.9527225,0.36999238,0.28367752
0.76001906,2.999983,0.22871315,0.14484942
0.28060973,2.4887233,0.18232639,0.113780536
0.6363822,2.9802415,0.23126528,0.14342308
0.101204365,2.5448074,0.2758148,0.17133172
-0.1566877,2.999998,0.19682223,0.10016013
-0.46899623,2.9995432,0.20984964,0.10038385
-0.44502485,2.994802,0.27758965,0.13986568
-0.74817383,2.9894552,0.22263446,0.101125
-0.7959768,2.999934,0.23417065,0.10584655
-0.83397233,2.9848688,0.30871326,0.14668363
-0.50813735,2.9997883,0.2255723,0.10808382
0.3978613,2.999999,0.17767276,0.101312146
0.35755584,2.9981184,0.18003255,0.10190201
1.5836678,2.9999998,0.13525544,0.0989138
1.5940237,2.9998922,0.1358663,0.099613786
0.119069576,2.9971173,0.26723176,0.15081477
-0.805961,2.9999576,0.29873297,0.14126556
0.20901448,2.9981034,0.18675584,0.10261494
1.0951021,2.9999995,0.21676104,0.14668183
1.0348389,2.9999995,0.21433492,0.14303829
0.91740656,2.9890563,0.3274454,0.22484106
-0.44552445,2.9999194,0.28076103,0.1416016
-0.89098096,2.999886,0.29027802,0.1339181
-0.30656272,2.9991305,0.19983312,0.09852153
0.91609573,2.9997237,0.20011178,0.12937425
0.8277713,2.9988015,0.15623564,0.09715305
0.97709036,2.9999878,0.21527122,0.14195287
0.5368651,2.9859648,0.1659878,0.097386345
0.062347285,2.987002,0.2006049,0.10777413
-0.19839384,2.9999797,0.28162864,0.14982288
-0.2971727,2.995855,0.28568512,0.14935224
1.018508,2.999965,0.21460171,0.14273328
-0.35421354,2.996293,0.22069067,0.10916752
0.68675715,2.9997108,0.41100773,0.28129652
-1.0307527,2.9986608,0.2502673,0.10865629
0.79868984,2.9963813,0.2200116,0.14003232
-0.96389365,2.99088,0.34052095,0.16115399
-0.97823894,2.9998593,0.23104744,0.10002644
-0.91409737,2.999984,0.24751182,0.11002875
-0.36060324,2.9999957,0.48659483,0.2903297
-0.6639378,2.9999976,0.27955624,0.13439474
-0.10964072,2.999999,0.21193941,0.11000552
2.9832718,2.9999607,0.2580532,0.2572552
-1.137613,2.9999976,0.25716576,0.10956865
