model,regime,metric,mean,sd,n,ci95
CFA,ID_missing,auprc,0.7895725986522939,0.010352764327896252,20,0.004537299019273344
CFA,ID_missing,aurc,0.1623475925925926,0.006795532312178584,20,0.0029782733498922164
CFA,ID_missing,auroc,0.7927744622862573,0.008283334483016023,20,0.003630331400940813
CFA,ID_missing,brier,0.18580286682936648,0.0036628524639454544,20,0.0016053158717831881
CFA,ID_missing,coverage_80_risk,0.238375,0.010523487375851586,20,0.004612121694021944
CFA,ID_missing,ece,0.024111290982893357,0.0055069638636494,20,0.0024135333275559687
CFA,ID_missing,mean_uncertainty,0.27767684012651445,0.0067715087560923735,20,0.0029677445622160875
CFA,ID_missing,nll,0.550094855075535,0.008684575268233597,20,0.003806182928474823
CFA,noise_shift,auprc,0.783156859930606,0.007537034494574657,20,0.0033032510098114213
CFA,noise_shift,aurc,0.16661906084656083,0.0059213590803491,20,0.00259515003887786
CFA,noise_shift,auroc,0.7882144605631667,0.006582766263922996,20,0.0028850245178403313
CFA,noise_shift,brier,0.18787674759614265,0.0029844625155129234,20,0.0013079983679534356
CFA,noise_shift,coverage_80_risk,0.24333333333333332,0.0070269947325126226,20,0.00307971622828851
CFA,noise_shift,ece,0.02609529449458544,0.00669707206301329,20,0.0029351212430900444
CFA,noise_shift,mean_uncertainty,0.2790543168783188,0.006953770206887651,20,0.003047624164972658
CFA,noise_shift,nll,0.5552304488273534,0.007452328730522548,20,0.0032661270718961333
CFA,outlier_shift,auprc,0.7879550322109872,0.00712747127261708,20,0.0031237520135567504
CFA,outlier_shift,aurc,0.16083469576719575,0.006339825503507893,20,0.0027785510351007736
CFA,outlier_shift,auroc,0.7940984207134756,0.007458641522876232,20,0.003268893775130946
CFA,outlier_shift,brier,0.18529899360649857,0.003366986847171077,20,0.0014756470480459557
CFA,outlier_shift,coverage_80_risk,0.23704166666666668,0.009105557874755747,20,0.0039906866906784235
CFA,outlier_shift,ece,0.02767017282396555,0.006999218916811373,20,0.003067542940328964
CFA,outlier_shift,mean_uncertainty,0.2771900177001953,0.00649356123310485,20,0.0028459286893228407
