method,fault,metric,mean,sd,n,ci95
BCRF,bias,accuracy,0.5428505957836847,0.01995529063780326,10,0.01236841727807412
BCRF,bias,aurc,0.2586797787756089,0.019460875283552323,10,0.012061975466674094
BCRF,bias,ece,0.2634047916983651,0.013370545616628171,10,0.0082871500307142
BCRF,bias,macro_auroc,0.8359092321751879,0.009304006854350642,10,0.005766683193011036
BCRF,bias,macro_f1,0.5320585628837015,0.01765841911159564,10,0.010944801557015892
BCRF,bias,nll,2.018092000959297,0.1212701562347043,10,0.07516402155760235
BCRF,burst,accuracy,0.5579514207149404,0.02710093489479302,10,0.016797333473546405
BCRF,burst,aurc,0.25420220575755564,0.025122588737805738,10,0.015571141821707518
BCRF,burst,ece,0.24707120801403257,0.01323560804461181,10,0.00820351485709128
BCRF,burst,macro_auroc,0.8383931853055506,0.010095629779109386,10,0.0062573361650984155
BCRF,burst,macro_f1,0.5364355605449591,0.0249228772874517,10,0.015447359382352376
BCRF,burst,nll,1.9669062511129791,0.06267789903208058,10,0.03884816429950579
BCRF,clipping,accuracy,0.5853116406966087,0.021232157149915318,10,0.01315982734154286
BCRF,clipping,aurc,0.2112146920007194,0.013799457724664175,10,0.008552992509488124
BCRF,clipping,ece,0.200412180658522,0.015751660449127614,10,0.009762980293971478
BCRF,clipping,macro_auroc,0.8573590658006245,0.005644355738873294,10,0.003498407931580112
BCRF,clipping,macro_f1,0.5610171366010505,0.019630842529434003,10,0.012167322257098042
BCRF,clipping,nll,1.646032533658346,0.06709052478613241,10,0.041583138077071244
BCRF,correlated,accuracy,0.53480751604033,0.011796315761144422,10,0.0073114322575367945
BCRF,correlated,aurc,0.28850894331208743,0.016038504560984723,10,0.009940768116439284
BCRF,correlated,ece,0.2866506026315099,0.011913431018603857,10,0.007384021046153246
BCRF,correlated,macro_auroc,0.8136984231380293,0.0052120744781436424,10,0.003230477230332011
BCRF,correlated,macro_f1,0.5143505887914621,0.010062023190010861,10,0.006236506585374033
BCRF,correlated,nll,2.407200613868308,0.10650927134898885,10,0.06601513031999301
BCRF,delayed_quality,accuracy,0.5634967919340055,0.013974223935545912,10,0.008661313729235148
BCRF,delayed_quality,aurc,0.24435558829573162,0.015413537971789263,10,0.009553409811299858
BCRF,delayed_quality,ece,0.24596641544938955,0.015571903579904855,10,0.009651565832137709
BCRF,delayed_quality,macro_auroc,0.8425430315974334,0.00633642466089645,10,0.003927356693496597
BCRF,delayed_quality,macro_f1,0.5414022034322434,0.013189884727089346,10,0.008175175251283464
BCRF,delayed_quality,nll,1.9213627612686477,0.08201052219619112,10,0.050830648278992606
BCRF,misleading_quality,accuracy,0.5103116406966086,0.012197310894188301,10,0.007559971615944731
BCRF,misleading_quality,aurc,0.3528624261213095,0.01694284557770088,10,0.010501284485729038
BCRF,misleading_quality,ece,0.32345623414208863,0.014282285934249565,10,0.008852252534218836
BCRF,misleading_quality,macro_auroc,0.7763426708641457,0.0070257113810220165,10,0.0043545810288113445
BCRF,misleading_quality,macro_f1,0.4952099953420673,0.01034692657330864,10,0.0064130915318185875
BCRF,misleading_quality,nll,3.1288748050820785,0.14347901083433456,10,0.0889292122502367
BCRF,silent_gaussian,accuracy,0.559051329055912,0.014430455965730338,10,0.00894408927118862
BCRF,silent_gaussian,aurc,0.2528865490728529,0.014831193694522255,10,0.0091924690887883
BCRF,silent_gaussian,ece,0.25165533480412855,0.013292654373355778,10,0.008238872537963687
BCRF,silent_gaussian,macro_auroc,0.8375060030507544,0.00657579922068952,10,0.0040757225827744645
BCRF,silent_gaussian,macro_f1,0.539040872617979,0.013007200792644847,10,0.008061946575629426
BCRF,silent_gaussian,nll,1.9925366185998972,0.08720531401570325,10,0.05405041360652606
CFA,bias,accuracy,0.5173006416131989,0.022894952741438938,10,0.014190438726633177
CFA,bias,aurc,0.2721135890486807,0.0195894854079138,10,0.01214168884760949
CFA,bias,ece,0.2335938369682849,0.03325492063294512,10,0.02061161335121403
CFA,bias,macro_auroc,0.8132510513533504,0.015207995559142217,10,0.00942601330407261
CFA,bias,macro_f1,0.5199547888145652,0.0184144455625323,10,0.011413391606049397
CFA,bias,nll,2.1370322774106945,0.3096868277264977,10,0.19194588444571173
CFA,burst,accuracy,0.510724106324473,0.03008536862026539,10,0.018647104660816018
CFA,burst,aurc,0.3005304435771706,0.020991562491927938,10,0.01301070522756943
CFA,burst,ece,0.2567499617519288,0.02568559116050549,10,0.01592009433855664
CFA,burst,macro_auroc,0.8057317900922067,0.012200415288693799,10,0.007561895739593777
