fault,contrast,mean_difference,ci95,n_seeds
silent_gaussian,BCRF-CRF,0.012429138377151394,0.0050723575804216495,10
silent_gaussian,CRF-routed,0.04547583221057738,0.008625063085319492,10
silent_gaussian,CRF-uniform,0.026155847729207194,0.0068545836045390725,10
bias,BCRF-CRF,0.016185345304665477,0.004593161079403752,10
bias,CRF-routed,0.03932665690173235,0.028710695830361704,10
bias,CRF-uniform,0.03201277363492958,0.015856088600309622,10
clipping,BCRF-CRF,0.00887551864099163,0.0028030009978475727,10
clipping,CRF-routed,0.016588372813723405,0.00721733710040657,10
clipping,CRF-uniform,0.0028236714767371886,0.006107657762271324,10
burst,BCRF-CRF,0.009929437379663087,0.003714904751033929,10
burst,CRF-routed,0.04561586741417354,0.008732932444580057,10
burst,CRF-uniform,0.028461643787367274,0.006865501992462368,10
correlated,BCRF-CRF,0.007603685864483856,0.0048527879736369045,10
correlated,CRF-routed,0.038042052709971595,0.006777696838381081,10
correlated,CRF-uniform,0.03178708183582139,0.006345568482681031,10
misleading_quality,BCRF-CRF,0.006712204741445682,0.006432041800711347,10
misleading_quality,CRF-routed,-0.010427437073942735,0.009472222742016097,10
misleading_quality,CRF-uniform,-0.029290550821695925,0.00874452984868223,10
delayed_quality,BCRF-CRF,0.00976399575764687,0.004369523601681188,10
delayed_quality,CRF-routed,0.05317032422737421,0.00867872512555794,10
delayed_quality,CRF-uniform,0.03385801889539057,0.006168461349296715,10
