origin,train_max_batch,validation_batch,test_batches,seed,method,regime,metric,value
1,4,5,6,101,UF,natural,macro_auroc,0.9622061392309048
1,4,5,6,101,UF,natural,nll,0.9714079876034794
1,4,5,6,101,UF,natural,aurc,0.1509063146997929
1,4,5,6,101,UF,silent,macro_auroc,0.8901340714980966
1,4,5,6,101,UF,silent,nll,2.052538111386811
1,4,5,6,101,UF,silent,aurc,0.2498457556935817
1,4,5,6,101,MOME_A,natural,macro_auroc,0.8931835860678815
1,4,5,6,101,MOME_A,natural,nll,1.8712675035198745
1,4,5,6,101,MOME_A,natural,aurc,0.2333221187025534
1,4,5,6,101,MOME_A,silent,macro_auroc,0.8337087052126447
1,4,5,6,101,MOME_A,silent,nll,2.505447276926394
1,4,5,6,101,MOME_A,silent,aurc,0.3108961352657005
1,4,5,6,101,CRF,natural,macro_auroc,0.9389408762805987
1,4,5,6,101,CRF,natural,nll,0.9522985231321331
1,4,5,6,101,CRF,natural,aurc,0.2067218771566597
1,4,5,6,101,CRF,silent,macro_auroc,0.9047029013644998
1,4,5,6,101,CRF,silent,nll,1.471310781650545
1,4,5,6,101,CRF,silent,aurc,0.2538840579710145
1,4,5,6,102,UF,natural,macro_auroc,0.982226155709214
1,4,5,6,102,UF,natural,nll,0.6572176596777619
1,4,5,6,102,UF,natural,aurc,0.0958635265700483
1,4,5,6,102,UF,silent,macro_auroc,0.8975302913490206
1,4,5,6,102,UF,silent,nll,1.736364244660662
1,4,5,6,102,UF,silent,aurc,0.199579365079365
1,4,5,6,102,MOME_A,natural,macro_auroc,0.9549816746131518
1,4,5,6,102,MOME_A,natural,nll,0.7327878864829895
1,4,5,6,102,MOME_A,natural,aurc,0.106193409247757
1,4,5,6,102,MOME_A,silent,macro_auroc,0.8300882994038264
1,4,5,6,102,MOME_A,silent,nll,2.032442081329488
1,4,5,6,102,MOME_A,silent,aurc,0.273455486542443
1,4,5,6,102,CRF,natural,macro_auroc,0.9744899845527883
1,4,5,6,102,CRF,natural,nll,0.6988845355459958
1,4,5,6,102,CRF,natural,aurc,0.0763005521048999
1,4,5,6,102,CRF,silent,macro_auroc,0.9377342464090884
1,4,5,6,102,CRF,silent,nll,1.0469880631286237
1,4,5,6,102,CRF,silent,aurc,0.1399126984126983
1,4,5,6,103,UF,natural,macro_auroc,0.9706906702660808
1,4,5,6,103,UF,natural,nll,0.7732036550566649
1,4,5,6,103,UF,natural,aurc,0.1324097653554175
1,4,5,6,103,UF,silent,macro_auroc,0.9136996941601288
1,4,5,6,103,UF,silent,nll,1.567414621716545
1,4,5,6,103,UF,silent,aurc,0.2215276052449965
1,4,5,6,103,MOME_A,natural,macro_auroc,0.9696994423139462
1,4,5,6,103,MOME_A,natural,nll,0.6300264903453531
1,4,5,6,103,MOME_A,natural,aurc,0.0496430296756383
1,4,5,6,103,MOME_A,silent,macro_auroc,0.9118835059618448
1,4,5,6,103,MOME_A,silent,nll,1.5424144199650784
1,4,5,6,103,MOME_A,silent,aurc,0.1705873015873016
1,4,5,6,103,CRF,natural,macro_auroc,0.9734988443644116
1,4,5,6,103,CRF,natural,nll,0.6666036988272829
1,4,5,6,103,CRF,natural,aurc,0.0719763630089717
1,4,5,6,103,CRF,silent,macro_auroc,0.9473943644372176
1,4,5,6,103,CRF,silent,nll,0.9907630230837822
1,4,5,6,103,CRF,silent,aurc,0.1135282953761214
1,4,5,6,104,UF,natural,macro_auroc,0.969924127336108
1,4,5,6,104,UF,natural,nll,0.6402347923196497
1,4,5,6,104,UF,natural,aurc,0.1051866804692891
1,4,5,6,104,UF,silent,macro_auroc,0.9113983236464068
1,4,5,6,104,UF,silent,nll,1.376649538649663
1,4,5,6,104,UF,silent,aurc,0.191729641131815
1,4,5,6,104,MOME_A,natural,macro_auroc,0.9479888963603454
1,4,5,6,104,MOME_A,natural,nll,1.4198529038964638
1,4,5,6,104,MOME_A,natural,aurc,0.2031478605935127
1,4,5,6,104,MOME_A,silent,macro_auroc,0.871906667369275
1,4,5,6,104,MOME_A,silent,nll,2.524525089102151
