origin,method,regime,metric,mean,sd,n,ci95
1,BCRF,natural,aurc,0.14549616977225668,0.037312290510433575,5,0.03270566464719952
1,BCRF,natural,macro_auroc,0.9743882798949006,0.004084265988449439,5,0.0035800169842384196
1,BCRF,natural,nll,0.7941194872299179,0.1293848994985275,5,0.11341086477194888
1,BCRF,silent,aurc,0.18375821256038644,0.039375878159346074,5,0.034514478973314465
1,BCRF,silent,macro_auroc,0.9461993978038127,0.012674663181571713,5,0.011109832118635978
1,BCRF,silent,nll,1.1421904577101287,0.20565442236571407,5,0.1802640491670104
1,CRF,natural,aurc,0.10923102139406482,0.057807313354749985,5,0.05067034424507813
1,CRF,natural,macro_auroc,0.9648294833599017,0.015109515289527833,5,0.013244074091427006
1,CRF,natural,nll,0.7497593978470979,0.13265720853658358,5,0.11627917010932118
1,CRF,silent,aurc,0.16281801242236021,0.057469278763698756,5,0.05037404386193807
1,CRF,silent,macro_auroc,0.9297267923141174,0.018169718479875696,5,0.01592646045599019
1,CRF,silent,nll,1.138300591371662,0.24166886954799996,5,0.21183210397910385
1,MOME_A,natural,aurc,0.13541790890269143,0.07897446288026125,5,0.0692241688548248
1,MOME_A,natural,macro_auroc,0.9475691812425362,0.03201230896521292,5,0.02806002599347328
1,MOME_A,natural,nll,1.1261342756034933,0.5159113644114788,5,0.452216249425983
1,MOME_A,silent,aurc,0.25738291925465834,0.054436173388700534,5,0.04771540977978299
1,MOME_A,silent,macro_auroc,0.8596782072793963,0.03355465764811857,5,0.029411954221467123
1,MOME_A,silent,nll,2.129915166377806,0.40578723153575486,5,0.3556881909732345
1,UF,natural,aurc,0.10931811594202893,0.034200604812931856,5,0.029978151875462263
1,UF,natural,macro_auroc,0.9727313905848194,0.007866593200860004,5,0.006895372962196565
1,UF,natural,nll,0.7356571999454999,0.14329492785361347,5,0.12560354220855022
1,UF,silent,aurc,0.2099630434782608,0.025912667191701693,5,0.022713454245037634
1,UF,silent,macro_auroc,0.9036267479866009,0.009799545955948738,5,0.008589680755204738
1,UF,silent,nll,1.6870982548006737,0.2484521990820909,5,0.2177779544722915
2,BCRF,natural,aurc,0.08250386273571428,0.008466680061669292,5,0.007421372287360781
2,BCRF,natural,macro_auroc,0.9596949842627595,0.0038448865971564905,5,0.0033701916964317467
2,BCRF,natural,nll,0.7473880781965624,0.0327665894295175,5,0.028721181971249055
2,BCRF,silent,aurc,0.14706765779081893,0.016340225331790668,5,0.014322839006942811
2,BCRF,silent,macro_auroc,0.9165303749136429,0.008223570637070294,5,0.007208277481206087
2,BCRF,silent,nll,1.1084462624413427,0.06568139691055047,5,0.057572282792861126
2,CRF,natural,aurc,0.08523191367534735,0.008937371359750387,5,0.007833951401020143
2,CRF,natural,macro_auroc,0.9578363867560217,0.004306494769954208,5,0.003774809099743051
2,CRF,natural,nll,0.7951525755307856,0.046328423035720906,5,0.04060865325370973
2,CRF,silent,aurc,0.15702027958643938,0.02025143721310028,5,0.01775116737821996
2,CRF,silent,macro_auroc,0.9101350919813302,0.007455886214006182,5,0.006535372415552376
2,CRF,silent,nll,1.1883249369062694,0.07621047696688653,5,0.06680142838149099
2,MOME_A,natural,aurc,0.14249096962877308,0.03578311817780615,5,0.03136528599945332
2,MOME_A,natural,macro_auroc,0.9443548455117469,0.015896466187307643,5,0.013933866966763943
2,MOME_A,natural,nll,0.9386123354223743,0.13068376943436014,5,0.11454937446836629
2,MOME_A,silent,aurc,0.272892506559655,0.05321920640033044,5,0.04664869118213445
2,MOME_A,silent,macro_auroc,0.8464557043399148,0.016913624702122626,5,0.014825445715307401
2,MOME_A,silent,nll,1.853587637102222,0.17850296301107477,5,0.15646474571533434
2,UF,natural,aurc,0.10159837667505171,0.008149009801273534,5,0.007142922027064192
2,UF,natural,macro_auroc,0.9505841474921928,0.005925192172012387,5,0.005193659930736775
2,UF,natural,nll,0.8462831960881665,0.0522507585464361,5,0.04579980921041761
2,UF,silent,aurc,0.22141532279188492,0.018303575914030035,5,0.016043791670238807
2,UF,silent,macro_auroc,0.8675237484411177,0.00778911842238435,5,0.006827463324680951
2,UF,silent,nll,1.63411258786983,0.09580614620209936,5,0.08397778978350956
3,BCRF,natural,aurc,0.16863832989711075,0.006862630746020761,5,0.006015361070212347
3,BCRF,natural,macro_auroc,0.883516382505728,0.0071667353089663165,5,0.006281920472417883
3,BCRF,natural,nll,1.4517747249440007,0.08939402697291075,5,0.07835731946880024
3,BCRF,silent,aurc,0.24890488651308934,0.013604274461645431,5,0.011924672332474986
3,BCRF,silent,macro_auroc,0.8417517814367926,0.007363215707581157,5,0.0064541431352171065
3,BCRF,silent,nll,1.9015185986685785,0.08206026535731936,5,0.07192899398352977
3,CRF,natural,aurc,0.1815476789765113,0.04778761945066725,5,0.04188769530523658
3,CRF,natural,macro_auroc,0.8743554287453954,0.013827522810729277,5,0.01212035813836609
3,CRF,natural,nll,1.467045986387458,0.11775884390756108,5,0.10322017773220467
3,CRF,silent,aurc,0.26540743112832244,0.03825619913688704,5,0.03353303703769249
3,CRF,silent,macro_auroc,0.8277370802774378,0.016002503379416968,5,0.014026812663686206
3,CRF,silent,nll,1.9876422178671942,0.15638911068651445,5,0.13708109951482778
3,MOME_A,natural,aurc,0.1864393034961585,0.03030297429190414,5,0.026561728091353473
3,MOME_A,natural,macro_auroc,0.8686186725506388,0.012366522116480724,5,0.010839734566300545
3,MOME_A,natural,nll,1.609921745717876,0.31244144783484706,5,0.2738670040080916
3,MOME_A,silent,aurc,0.3222193357781701,0.03209116164439701,5,0.028129143414211813
3,MOME_A,silent,macro_auroc,0.788940040401525,0.01598667272519263,5,0.01401293648344843
3,MOME_A,silent,nll,2.533116331872778,0.5123504649880082,5,0.44909498346259036
3,UF,natural,aurc,0.16774462426595207,0.011056053605319109,5,0.00969105827035506
3,UF,natural,macro_auroc,0.8847514413902419,0.006468562241283423,5,0.005669944796173666
3,UF,natural,nll,1.296377954128091,0.11885628702984401,5,0.10418212904196744
3,UF,silent,aurc,0.2972192901673379,0.019809554568724422,5,0.017363840162906458
3,UF,silent,macro_auroc,0.8067390418025531,0.010572660235171734,5,0.00926734529963034
3,UF,silent,nll,2.3203457170301838,0.12954698977333798,5,0.11355294316215228
