seed,method,seconds,parameters
101,UF,8.066941299999598,17560
101,GF,5.109553199999937,26588
101,MOME_A,5.011435899999924,35811
101,CFA,11.88712139999916,19740
101,CRF_NR,14.773707500000455,19740
101,CRF,17.615210500000103,19740
101,BCRF,19.096149799999694,19740
102,UF,6.901316299999962,17560
102,GF,4.5918161000008695,26588
102,MOME_A,4.968164399999296,35811
102,CFA,11.759577800001352,19740
102,CRF_NR,12.868833900000027,19740
102,CRF,13.710024400001203,19740
102,BCRF,25.048523800000112,19740
103,UF,5.48678099999961,17560
103,GF,2.886158900000737,26588
103,MOME_A,3.6118800999993255,35811
103,CFA,7.032646300000124,19740
103,CRF_NR,7.526118499999939,19740
103,CRF,7.714754799999355,19740
103,BCRF,9.838920800000778,19740
104,UF,4.3678278000006685,17560
104,GF,3.323716199998671,26588
104,MOME_A,3.560463499999969,35811
104,CFA,7.090589100000216,19740
104,CRF_NR,8.486403200000495,19740
104,CRF,6.814968799999406,19740
104,BCRF,9.699341200001072,19740
105,UF,4.710142000001724,17560
105,GF,4.760113199999978,26588
105,MOME_A,3.866111199999068,35811
105,CFA,7.773148599999331,19740
105,CRF_NR,7.364067900000009,19740
105,CRF,10.918491000000358,19740
105,BCRF,11.157542699998885,19740
106,UF,3.799530099999174,17560
106,GF,3.5192126000001736,26588
106,MOME_A,2.565472199999931,35811
106,CFA,6.1999503999995795,19740
106,CRF_NR,7.2806378999994195,19740
106,CRF,7.393402300000162,19740
106,BCRF,7.8036436999991565,19740
107,UF,3.5443810999986454,17560
107,GF,3.8605425999994623,26588
107,MOME_A,2.8036190000002534,35811
107,CFA,6.31264210000154,19740
107,CRF_NR,7.017533700000058,19740
107,CRF,6.986070000000836,19740
107,BCRF,12.110439699999915,19740
108,UF,3.8613623999990523,17560
108,GF,2.49924590000046,26588
108,MOME_A,4.49479059999976,35811
108,CFA,7.700839199998882,19740
108,CRF_NR,8.509598599999663,19740
108,CRF,8.908900300000823,19740
108,BCRF,17.005596900000455,19740
109,UF,3.2314700999995694,17560
109,GF,3.5405992999985756,26588
109,MOME_A,3.0179238000000623,35811
109,CFA,5.770518799999991,19740
109,CRF_NR,6.988550199999736,19740
109,CRF,8.227296499999284,19740
109,BCRF,10.586955000000671,19740
110,UF,3.9385182000005443,17560
110,GF,4.12972389999959,26588
110,MOME_A,3.5549288999991404,35811
110,CFA,7.964922600000136,19740
110,CRF_NR,8.105819799999153,19740
110,CRF,9.193005400000402,19740
110,BCRF,13.096755500000654,19740
