seed,metric,value
11,isotonic_noise_mae,0.15029452741146088
11,isotonic_noise_rmse,0.18786942958831787
11,score_calibration_error_10bin,0.008698193356394768
11,matched_noise_between_sensor_score_range,0.0761055126786232
11,ambiguity_q1_spearman,0.3849357215057726
11,ambiguity_q2_spearman,0.42606396145274317
11,ambiguity_q3_spearman,0.45917488747451896
11,ambiguity_q4_spearman,0.4473090436017625
12,isotonic_noise_mae,0.14667129516601562
12,isotonic_noise_rmse,0.1827985644340515
12,score_calibration_error_10bin,0.006467691157013178
12,matched_noise_between_sensor_score_range,0.17360836267471313
12,ambiguity_q1_spearman,0.38060018462203427
12,ambiguity_q2_spearman,0.43014685678965064
12,ambiguity_q3_spearman,0.4090112336914693
12,ambiguity_q4_spearman,0.41554855044274
13,isotonic_noise_mae,0.14641818404197693
13,isotonic_noise_rmse,0.18265335261821747
13,score_calibration_error_10bin,0.0071405889466404915
13,matched_noise_between_sensor_score_range,0.1468624621629715
13,ambiguity_q1_spearman,0.40727899166056014
13,ambiguity_q2_spearman,0.4424228050116349
13,ambiguity_q3_spearman,0.432524669360483
13,ambiguity_q4_spearman,0.46851456643617456
14,isotonic_noise_mae,0.14653266966342926
14,isotonic_noise_rmse,0.18185561895370483
14,score_calibration_error_10bin,0.009845271706581116
14,matched_noise_between_sensor_score_range,0.10424266010522842
14,ambiguity_q1_spearman,0.4153943995701581
14,ambiguity_q2_spearman,0.4703986897294296
14,ambiguity_q3_spearman,0.485478735710155
14,ambiguity_q4_spearman,0.46747996996457053
15,isotonic_noise_mae,0.14534512162208557
15,isotonic_noise_rmse,0.1813056617975235
15,score_calibration_error_10bin,0.007163661997765303
15,matched_noise_between_sensor_score_range,0.04912664368748665
15,ambiguity_q1_spearman,0.39978059647243863
15,ambiguity_q2_spearman,0.46089685556109883
15,ambiguity_q3_spearman,0.5051573155929165
15,ambiguity_q4_spearman,0.5017024812262717
16,isotonic_noise_mae,0.14563563466072083
16,isotonic_noise_rmse,0.18157906830310822
16,score_calibration_error_10bin,0.00935486238449812
16,matched_noise_between_sensor_score_range,0.09608447551727295
16,ambiguity_q1_spearman,0.3169327948671942
16,ambiguity_q2_spearman,0.44966944183687435
16,ambiguity_q3_spearman,0.490854397649264
16,ambiguity_q4_spearman,0.47027847189618216
17,isotonic_noise_mae,0.1447705328464508
17,isotonic_noise_rmse,0.18107004463672638
17,score_calibration_error_10bin,0.00615449296310544
17,matched_noise_between_sensor_score_range,0.08858806639909744
17,ambiguity_q1_spearman,0.37443997227777825
17,ambiguity_q2_spearman,0.43261405676385245
17,ambiguity_q3_spearman,0.46813232692224976
17,ambiguity_q4_spearman,0.5014781698735563
18,isotonic_noise_mae,0.1434931755065918
18,isotonic_noise_rmse,0.18001163005828857
18,score_calibration_error_10bin,0.008295666426420212
18,matched_noise_between_sensor_score_range,0.08711103349924088
18,ambiguity_q1_spearman,0.41062579219626333
18,ambiguity_q2_spearman,0.4135494999160669
18,ambiguity_q3_spearman,0.5041679539567934
18,ambiguity_q4_spearman,0.512691502878226
19,isotonic_noise_mae,0.149012491106987
19,isotonic_noise_rmse,0.18582019209861755
19,score_calibration_error_10bin,0.005239282269030809
19,matched_noise_between_sensor_score_range,0.16213074326515198
19,ambiguity_q1_spearman,0.3118178263816432
19,ambiguity_q2_spearman,0.38039340629012197
19,ambiguity_q3_spearman,0.435794260986284
19,ambiguity_q4_spearman,0.42991564404078253
20,isotonic_noise_mae,0.14644072949886322
20,isotonic_noise_rmse,0.18142105638980865
20,score_calibration_error_10bin,0.013933349400758743
20,matched_noise_between_sensor_score_range,0.2931264638900757
20,ambiguity_q1_spearman,0.3053720103089493
20,ambiguity_q2_spearman,0.38182512150674736
20,ambiguity_q3_spearman,0.4415820186677063
20,ambiguity_q4_spearman,0.4542151371882033
21,isotonic_noise_mae,0.14677810668945312
21,isotonic_noise_rmse,0.1828904002904892
21,score_calibration_error_10bin,0.006771840620785952
21,matched_noise_between_sensor_score_range,0.07183369249105453
21,ambiguity_q1_spearman,0.37573914428981253
21,ambiguity_q2_spearman,0.4268275425446641
21,ambiguity_q3_spearman,0.4566303758116041
21,ambiguity_q4_spearman,0.4243717288614336
22,isotonic_noise_mae,0.14413805305957794
22,isotonic_noise_rmse,0.17896796762943268
22,score_calibration_error_10bin,0.006992432288825512
22,matched_noise_between_sensor_score_range,0.15331211686134338
22,ambiguity_q1_spearman,0.3547963299625544
