metric,mean,sd,n,ci95
cross_sensor_pairwise_accuracy,0.6512305588932669,0.014209463524264953,20,0.006227571967355792
fault_sensor_identification_auroc,0.8767400498688891,0.0095861473418946,20,0.004201314311365827
global_kendall,0.2759693152417473,0.0203375408192722,20,0.008913320258345602
global_spearman,0.4027738359296871,0.02855403150228881,20,0.01251435607227449
partial_spearman_controlling_task_ambiguity,0.4239271490730287,0.034498047869143615,20,0.015119436104783592
sensor_1_spearman,0.3621344657628587,0.05047262470784329,20,0.02212060309051632
sensor_2_spearman,0.40755489863831124,0.05512929724018429,20,0.024161479811445348
sensor_3_spearman,0.410030670064011,0.04219344225118909,20,0.01849209139536063
sensor_4_spearman,0.500676571610089,0.04952408514986942,20,0.02170488730004479
severity_delta_spearman,0.6893630839157889,0.020191407391557448,20,0.008849274459827177
