seed,model,stress_type,level,metric,value
11,EF,missingness,0.5,auroc,0.7989247995221331
11,EF,missingness,0.5,ece,0.02319447016219298
11,EF,missingness,0.5,nll,0.5436954270781946
11,EF,missingness,0.5,aurc,0.15562962962962962
11,EF,missingness,1.0,auroc,0.8034224680750374
11,EF,missingness,1.0,ece,0.033286800672610604
11,EF,missingness,1.0,nll,0.538869278792199
11,EF,missingness,1.0,aurc,0.15283981481481482
11,EF,missingness,1.5,auroc,0.7950888380825054
11,EF,missingness,1.5,ece,0.024223338427642984
11,EF,missingness,1.5,nll,0.5478593027064366
11,EF,missingness,1.5,aurc,0.15805396825396822
11,EF,missingness,2.0,auroc,0.754901106715854
11,EF,missingness,2.0,ece,0.025388763257612787
11,EF,missingness,2.0,nll,0.5890908485711818
11,EF,missingness,2.0,aurc,0.20104999999999998
11,EF,sensor_noise,0.0,auroc,0.7879054872248075
11,EF,sensor_noise,0.0,ece,0.028981799304485325
11,EF,sensor_noise,0.0,nll,0.5576158267565093
11,EF,sensor_noise,0.0,aurc,0.17057341269841272
11,EF,sensor_noise,0.5,auroc,0.7940347879580966
11,EF,sensor_noise,0.5,ece,0.025728646191457906
11,EF,sensor_noise,0.5,nll,0.5519590085606241
11,EF,sensor_noise,0.5,aurc,0.16412579365079366
11,EF,sensor_noise,1.0,auroc,0.7741090587088404
11,EF,sensor_noise,1.0,ece,0.024516061355670294
11,EF,sensor_noise,1.0,nll,0.5691151120414114
11,EF,sensor_noise,1.0,aurc,0.18251335978835978
11,EF,sensor_noise,1.5,auroc,0.7590109883759438
11,EF,sensor_noise,1.5,ece,0.030202272909382977
11,EF,sensor_noise,1.5,nll,0.5857408196789028
11,EF,sensor_noise,1.5,aurc,0.19739960317460317
11,EF,sensor_noise,2.0,auroc,0.76976798479172
11,EF,sensor_noise,2.0,ece,0.024440541033943494
11,EF,sensor_noise,2.0,nll,0.5755656950675022
11,EF,sensor_noise,2.0,aurc,0.18543240740740743
11,EF,sensor_noise,3.0,auroc,0.763574609853995
11,EF,sensor_noise,3.0,ece,0.028450670917828876
11,EF,sensor_noise,3.0,nll,0.5803142243448335
11,EF,sensor_noise,3.0,aurc,0.19313042328042332
11,MD,missingness,0.5,auroc,0.7997839110150716
11,MD,missingness,0.5,ece,0.04392492639025052
11,MD,missingness,0.5,nll,0.547792146064254
11,MD,missingness,0.5,aurc,0.15371521164021162
11,MD,missingness,1.0,auroc,0.805029001667468
11,MD,missingness,1.0,ece,0.027953982257594667
11,MD,missingness,1.0,nll,0.5364464424586071
11,MD,missingness,1.0,aurc,0.150139417989418
11,MD,missingness,1.5,auroc,0.7972491217527965
11,MD,missingness,1.5,ece,0.029453005224466325
11,MD,missingness,1.5,nll,0.5440874245211673
11,MD,missingness,1.5,aurc,0.1564383597883598
11,MD,missingness,2.0,auroc,0.7652757900351127
11,MD,missingness,2.0,ece,0.02748030262440443
11,MD,missingness,2.0,nll,0.5791427661749947
11,MD,missingness,2.0,aurc,0.18839179894179894
11,MD,sensor_noise,0.0,auroc,0.7920939437639031
11,MD,sensor_noise,0.0,ece,0.03023132293423017
11,MD,sensor_noise,0.0,nll,0.5543489859111842
11,MD,sensor_noise,0.0,aurc,0.16612473544973544
11,MD,sensor_noise,0.5,auroc,0.8005339718652433
11,MD,sensor_noise,0.5,ece,0.026818182746569316
11,MD,sensor_noise,0.5,nll,0.5445437472879499
11,MD,sensor_noise,0.5,aurc,0.158860582010582
11,MD,sensor_noise,1.0,auroc,0.77762619251151
11,MD,sensor_noise,1.0,ece,0.03816794516394535
11,MD,sensor_noise,1.0,nll,0.5697150280602601
11,MD,sensor_noise,1.0,aurc,0.17686653439153438
11,MD,sensor_noise,1.5,auroc,0.7637199113248418
11,MD,sensor_noise,1.5,ece,0.044080622941255566
