model,stress_type,level,metric,mean,sd,n,ci95
CFA,missingness,0.5,aurc,0.15867146164021165,0.007098974636989348,20,0.0031112628123355942
CFA,missingness,0.5,auroc,0.796101369738621,0.007841466413422604,20,0.003436674180964104
CFA,missingness,0.5,ece,0.02486260713773469,0.006406102503311304,20,0.002807598210974187
CFA,missingness,0.5,nll,0.5464800475433015,0.008686003752363195,20,0.003806808989248061
CFA,missingness,1.0,aurc,0.16053488095238094,0.0061596984145323745,20,0.002699606857655245
CFA,missingness,1.0,auroc,0.7943668640803512,0.006850140012292548,20,0.003002206229683967
CFA,missingness,1.0,ece,0.02533703230905036,0.005950134593457117,20,0.002607761463543665
CFA,missingness,1.0,nll,0.5484694718058847,0.0076094388551956665,20,0.0033349836199657546
CFA,missingness,1.5,aurc,0.16353890873015872,0.006446848750399212,20,0.0028254560411242334
CFA,missingness,1.5,auroc,0.791162157674177,0.006764769604794415,20,0.002964790998935161
CFA,missingness,1.5,ece,0.027906087257526812,0.006911708591097668,20,0.003029189849071282
CFA,missingness,1.5,nll,0.5521970410924484,0.007713259329687888,20,0.0033804849490962495
CFA,missingness,2.0,aurc,0.16453626322751322,0.009502298431489885,20,0.004164565906118998
CFA,missingness,2.0,auroc,0.7896793749170576,0.0102598567446127,20,0.004496580475591284
CFA,missingness,2.0,ece,0.02636127359798799,0.007182108108405048,20,0.0031476976626206386
CFA,missingness,2.0,nll,0.553590248928409,0.011169373235497692,20,0.004895193652845362
CFA,sensor_noise,0.0,aurc,0.1613531283068783,0.005698712577224839,20,0.0024975709065539206
CFA,sensor_noise,0.0,auroc,0.7935549017159176,0.006787035245831119,20,0.002974549346371614
CFA,sensor_noise,0.0,ece,0.02552575451135635,0.0055957143085700765,20,0.002452429925019661
CFA,sensor_noise,0.0,nll,0.5494895374024018,0.006991155284646786,20,0.003064008897714512
CFA,sensor_noise,0.5,aurc,0.1625238425925926,0.00769622442667581,20,0.0033730190736757253
CFA,sensor_noise,0.5,auroc,0.7917636810856612,0.008756943034305601,20,0.003837899500360917
CFA,sensor_noise,0.5,ece,0.02601913879951462,0.006489574228312641,20,0.0028441813074294095
