level,method,seed,pool,subset,metric,value
single_model,CAGF,101,none,all,accuracy,0.5364344637946837
single_model,CAGF,101,none,all,macro_f1,0.5047938590524554
single_model,CAGF,101,none,all,macro_auroc,0.8305742691506267
single_model,CAGF,101,none,all,macro_auprc,0.5706735345872698
single_model,CAGF,101,none,all,nll,1.7448909369545176
single_model,CAGF,101,none,affected,accuracy,0.48441926345609065
single_model,CAGF,101,none,affected,macro_f1,0.45229004200037376
single_model,CAGF,101,none,affected,macro_auroc,0.8090436121976957
single_model,CAGF,101,none,affected,macro_auprc,0.5242163818999395
single_model,CAGF,101,none,affected,nll,1.9044783412860458
single_model,CAGF,101,none,unaffected,accuracy,0.571758368603309
single_model,CAGF,101,none,unaffected,macro_f1,0.5422901268585648
single_model,CAGF,101,none,unaffected,macro_auroc,0.8448959574000882
single_model,CAGF,101,none,unaffected,macro_auprc,0.6043327708305833
single_model,CAGF,101,none,unaffected,nll,1.6365139578682737
single_model,CAGF,102,none,all,accuracy,0.5098533455545371
single_model,CAGF,102,none,all,macro_f1,0.49438954831502274
single_model,CAGF,102,none,all,macro_auroc,0.8109119973526501
single_model,CAGF,102,none,all,macro_auprc,0.5351174820391843
single_model,CAGF,102,none,all,nll,1.8857220197229365
single_model,CAGF,102,none,affected,accuracy,0.46572237960339946
single_model,CAGF,102,none,affected,macro_f1,0.44934865088128556
single_model,CAGF,102,none,affected,macro_auroc,0.7798222743507816
single_model,CAGF,102,none,affected,macro_auprc,0.49188534788251737
single_model,CAGF,102,none,affected,nll,2.2041887831569484
single_model,CAGF,102,none,unaffected,accuracy,0.5398230088495575
single_model,CAGF,102,none,unaffected,macro_f1,0.5251943208480115
single_model,CAGF,102,none,unaffected,macro_auroc,0.8316782294987898
single_model,CAGF,102,none,unaffected,macro_auprc,0.5704706830255567
single_model,CAGF,102,none,unaffected,nll,1.669448900268904
single_model,CAGF,103,none,all,accuracy,0.48625114573785516
single_model,CAGF,103,none,all,macro_f1,0.46148746712214944
single_model,CAGF,103,none,all,macro_auroc,0.7961947920851431
single_model,CAGF,103,none,all,macro_auprc,0.5192674137287853
single_model,CAGF,103,none,all,nll,1.7944267181531361
single_model,CAGF,103,none,affected,accuracy,0.41246458923512747
single_model,CAGF,103,none,affected,macro_f1,0.38864364885823677
single_model,CAGF,103,none,affected,macro_auroc,0.7552592971186017
single_model,CAGF,103,none,affected,macro_auprc,0.46624750120141806
single_model,CAGF,103,none,affected,nll,2.2077726147002505
single_model,CAGF,103,none,unaffected,accuracy,0.5363601385148133
single_model,CAGF,103,none,unaffected,macro_f1,0.5033001694486443
single_model,CAGF,103,none,unaffected,macro_auroc,0.8321620974480336
single_model,CAGF,103,none,unaffected,macro_auprc,0.5667386314991933
single_model,CAGF,103,none,unaffected,nll,1.5137204821371077
single_model,CAGF,104,none,all,accuracy,0.4569202566452796
single_model,CAGF,104,none,all,macro_f1,0.4336776150766182
single_model,CAGF,104,none,all,macro_auroc,0.77424627311918
