seed,model,train_seconds,parameters
11,EF,2.384265900000173,5761
11,MD,1.9070765000001302,5761
11,UF,2.905211799999961,6148
11,GF,3.579298999999992,14920
11,QWF,2.9741478999999345,6148
11,LWF,5.24893689999999,8328
11,RWF,5.011578900000131,8328
11,CFA,7.284532299999682,8328
11,CRF_NR,8.450487600000088,8328
11,CRF,6.840442400000029,8328
12,EF,1.5904719000000114,5761
12,MD,1.5253860000002533,5761
12,UF,2.2009361999998873,6148
12,GF,3.3863618000000315,14920
12,QWF,2.5542043999998896,6148
12,LWF,3.0388795999997456,8328
12,RWF,4.830855100000008,8328
12,CFA,6.699415999999928,8328
12,CRF_NR,6.981030500000088,8328
12,CRF,8.386425600000166,8328
13,EF,1.4661894999999276,5761
13,MD,1.6401353999999628,5761
13,UF,2.6727967000001627,6148
13,GF,3.2675404000001436,14920
13,QWF,3.425589200000104,6148
13,LWF,4.661698899999919,8328
13,RWF,5.564769099999921,8328
13,CFA,7.523088599999937,8328
13,CRF_NR,10.45600400000012,8328
13,CRF,10.96685320000006,8328
14,EF,1.249590200000057,5761
14,MD,1.5182690999999977,5761
14,UF,3.071954200000164,6148
14,GF,2.6683788999998796,14920
14,QWF,2.408778099999836,6148
14,LWF,3.5733863000000383,8328
14,RWF,4.309443900000133,8328
14,CFA,6.674308499999825,8328
14,CRF_NR,8.202558400000271,8328
14,CRF,7.3395635000001676,8328
15,EF,1.2015449000000444,5761
15,MD,2.8841020999998364,5761
15,UF,2.4991099000003487,6148
15,GF,2.8036191000001054,14920
15,QWF,2.4710196999999425,6148
15,LWF,4.406714100000045,8328
15,RWF,4.6561845000001085,8328
15,CFA,6.028102199999921,8328
15,CRF_NR,6.808441900000162,8328
15,CRF,7.545828700000129,8328
16,EF,1.68978640000023,5761
16,MD,1.7698430000000371,5761
16,UF,3.026430000000346,6148
16,GF,3.2026842999998735,14920
16,QWF,2.806205200000022,6148
16,LWF,5.388185400000111,8328
16,RWF,5.041842199999792,8328
16,CFA,6.501326999999947,8328
16,CRF_NR,8.2766416999998,8328
16,CRF,8.844872799999848,8328
17,EF,1.2784124999998312,5761
17,MD,2.541690199999721,5761
17,UF,2.9325329000002966,6148
17,GF,2.63130799999999,14920
17,QWF,2.7388316999999915,6148
17,LWF,4.112755399999969,8328
17,RWF,4.2984293999998044,8328
17,CFA,4.894129299999804,8328
17,CRF_NR,5.715326000000005,8328
17,CRF,6.644639600000119,8328
18,EF,1.1223944999997002,5761
18,MD,1.5125312999998641,5761
18,UF,3.073946700000306,6148
18,GF,2.7122128999999404,14920
18,QWF,2.5328638000000865,6148
18,LWF,3.7040216000000328,8328
18,RWF,4.595162099999925,8328
18,CFA,5.973756400000184,8328
18,CRF_NR,6.9573866000000635,8328
18,CRF,7.680145700000139,8328
19,EF,1.4131070999997064,5761
19,MD,1.8556690000000344,5761
19,UF,2.7898755000001074,6148
19,GF,3.277684600000157,14920
19,QWF,2.687765799999852,6148
19,LWF,4.568115099999886,8328
19,RWF,5.192447599999923,8328
19,CFA,7.573940600000242,8328
19,CRF_NR,8.189285299999938,8328
19,CRF,6.662613800000145,8328
20,EF,1.6781003999999484,5761
20,MD,1.6900636000000304,5761
20,UF,2.4770088000000214,6148
20,GF,2.9766859999999724,14920
20,QWF,2.2371109000000615,6148
20,LWF,4.261908700000276,8328
20,RWF,3.6949204000002283,8328
20,CFA,5.672090300000036,8328
20,CRF_NR,6.8158384999997,8328
20,CRF,6.463747399999647,8328
21,EF,1.315651799999614,5761
21,MD,2.176579099999799,5761
21,UF,2.703494700000192,6148
21,GF,3.1368663999996897,14920
21,QWF,3.146292800000083,6148
21,LWF,3.827741799999785,8328
21,RWF,6.378491299999951,8328
21,CFA,8.408608000000186,8328
21,CRF_NR,10.560504300000048,8328
21,CRF,11.29948659999991,8328
22,EF,2.1005184000000554,5761
22,MD,2.6615068000000974,5761
22,UF,3.3435413000001972,6148
22,GF,3.437419200000022,14920
22,QWF,3.107074300000022,6148
22,LWF,5.795156300000144,8328
22,RWF,7.252058499999748,8328
22,CFA,8.558703199999854,8328
22,CRF_NR,9.403033200000209,8328
22,CRF,6.346679700000095,8328
23,EF,0.9893293999998605,5761
23,MD,1.251330500000222,5761
23,UF,2.996116599999823,6148
23,GF,3.1483463999998094,14920
23,QWF,2.9647350000000188,6148
23,LWF,4.849848500000007,8328
23,RWF,4.64103520000026,8328
23,CFA,6.122913400000016,8328
23,CRF_NR,6.4932269000000815,8328
23,CRF,6.930103599999711,8328
24,EF,1.9142018999996253,5761
24,MD,2.3822814000000108,5761
24,UF,3.058974600000056,6148
24,GF,3.008765599999606,14920
24,QWF,3.141301099999964,6148
24,LWF,4.303573299999698,8328
24,RWF,5.875432900000305,8328
24,CFA,7.300526399999853,8328
24,CRF_NR,8.665753400000085,8328
24,CRF,8.701317400000335,8328
25,EF,1.586597200000142,5761
25,MD,2.6475540999999794,5761
25,UF,2.852052000000185,6148
25,GF,3.145947399999841,14920
25,QWF,2.8879688000001806,6148
25,LWF,4.413577199999963,8328
25,RWF,5.7653173000003335,8328
25,CFA,7.233753299999989,8328
25,CRF_NR,7.748744400000305,8328
25,CRF,7.233645700000125,8328
26,EF,1.4129650999998375,5761
26,MD,1.4170014999999694,5761
26,UF,2.89607500000011,6148
26,GF,2.652694899999915,14920
26,QWF,2.7636928000001717,6148
26,LWF,4.451038499999868,8328
26,RWF,4.308046000000104,8328
26,CFA,5.307267500000307,8328
26,CRF_NR,6.409900099999959,8328
26,CRF,7.6913338999997904,8328
27,EF,1.1999449999998433,5761
27,MD,1.2750059999998484,5761
27,UF,2.972443099999964,6148
27,GF,3.154931099999885,14920
27,QWF,2.3482083000003513,6148
27,LWF,4.682350900000074,8328
27,RWF,4.686092100000224,8328
27,CFA,5.451883599999746,8328
27,CRF_NR,6.326627300000382,8328
27,CRF,7.683867899999768,8328
28,EF,1.2176587999997537,5761
28,MD,1.2936233000000357,5761
28,UF,2.860716500000308,6148
28,GF,2.657287499999711,14920
28,QWF,2.8876969000002646,6148
28,LWF,3.978602900000169,8328
28,RWF,4.280948499999795,8328
28,CFA,7.025615000000016,8328
28,CRF_NR,8.303843499999857,8328
28,CRF,8.4679900000001,8328
29,EF,1.9282816999998431,5761
29,MD,1.539266399999633,5761
29,UF,2.878508199999942,6148
29,GF,3.3852216999998745,14920
29,QWF,2.7666362000004483,6148
29,LWF,5.081663800000115,8328
29,RWF,5.483481700000084,8328
29,CFA,6.555018000000018,8328
29,CRF_NR,7.466288600000098,8328
29,CRF,7.614555199999813,8328
30,EF,1.5275808000001234,5761
30,MD,2.5639327999997477,5761
30,UF,2.592106000000058,6148
30,GF,3.3799520000002303,14920
30,QWF,2.6451311999999234,6148
30,LWF,5.344742799999949,8328
30,RWF,5.962982800000191,8328
30,CFA,8.432621799999652,8328
30,CRF_NR,8.57824040000014,8328
30,CRF,8.320085200000449,8328
