seed,rank_weight,train_seconds
101,0.03,10.066058200000043
101,0.07,8.268593599999804
101,0.3,9.97653949999949
102,0.03,9.096031900000526
102,0.07,9.360409200000504
102,0.3,7.356960000000072
103,0.03,7.457327500000247
103,0.07,7.464656400000422
103,0.3,7.569818400000258
104,0.03,7.21519459999945
104,0.07,7.176569799999925
104,0.3,7.45748790000016
105,0.03,7.549883200000295
105,0.07,7.458868599999732
105,0.3,11.72882589999972
106,0.03,8.199695299999803
106,0.07,7.146371899999394
106,0.3,9.401522799999839
107,0.03,8.723111199999948
107,0.07,8.648619000000508
107,0.3,10.844074999999975
108,0.03,7.534239799999341
108,0.07,8.038575099999434
108,0.3,7.006504300000415
109,0.03,6.937365300000238
109,0.07,8.005740100000367
109,0.3,9.755146100000275
110,0.03,6.883905800000321
110,0.07,6.798559599999862
110,0.3,8.992804699999397
