rank_weight,regime,metric,mean,sd,n,ci95
0.0,complete_drift,aurc,0.18137080507681008,0.012338145233989121,10,0.007647261644105925
0.0,complete_drift,macro_auroc,0.8712478640949239,0.0073439415544830815,10,0.004551822133803521
0.0,complete_drift,nll,1.4437684012639989,0.10489998768000312,10,0.06501768596811276
0.0,missing_drift,aurc,0.21992428245909118,0.011686439120530906,10,0.007243330010123446
0.0,missing_drift,macro_auroc,0.8520960207382992,0.006794476567025039,10,0.004211260206246401
0.0,missing_drift,nll,1.6051195016932194,0.1309656185667841,10,0.08117333136939939
0.0,reported_fault,aurc,0.23825587629530537,0.013639286458823709,10,0.008453717330397558
0.0,reported_fault,macro_auroc,0.8410580201301345,0.008124091109082006,10,0.005035363837390825
0.0,reported_fault,nll,1.7238669269067501,0.14445791981789963,10,0.08953594632420962
0.0,silent_fault,aurc,0.30020402933961804,0.013800349327720653,10,0.008553545130787862
0.0,silent_fault,macro_auroc,0.8029755916743044,0.009983902998477819,10,0.006188087189021402
0.0,silent_fault,nll,2.2776862697829094,0.2163751671489945,10,0.134110718028931
0.03,complete_drift,aurc,0.18390689651393066,0.021172111908727396,10,0.013122610915480493
0.03,complete_drift,macro_auroc,0.8720690116840751,0.007668551326696138,10,0.004753017355068093
0.03,complete_drift,nll,1.4445414785202129,0.09442749851360097,10,0.05852676993480806
0.03,missing_drift,aurc,0.2195620185488374,0.01586657814043439,10,0.009834207016975077
0.03,missing_drift,macro_auroc,0.85338952951104,0.006465223263587582,10,0.004007186894511006
0.03,missing_drift,nll,1.6036999442040916,0.11354079109973707,10,0.07037331141365848
0.03,reported_fault,aurc,0.23529561181556602,0.015364975265932654,10,0.009523310334369713
0.03,reported_fault,macro_auroc,0.8435150833269397,0.00809975964364368,10,0.0050202830388702486
0.03,reported_fault,nll,1.705744145676352,0.11991416715481946,10,0.07432357081855095
0.03,silent_fault,aurc,0.28688426668735256,0.020901919689827003,10,0.012955144043195607
0.03,silent_fault,macro_auroc,0.8117498735641787,0.012882022176518687,10,0.007984360065533342
0.03,silent_fault,nll,2.154399373934414,0.215661287848424,10,0.13366825105433786
0.07,complete_drift,aurc,0.17651334002499044,0.012578026763522295,10,0.007795941756484161
0.07,complete_drift,macro_auroc,0.8753908482194086,0.006239547739656293,10,0.003867311755627163
0.07,complete_drift,nll,1.4219519037593167,0.10115859039066868,10,0.0626987439032009
0.07,missing_drift,aurc,0.216139057245802,0.011203519991874522,10,0.006944013633168706
0.07,missing_drift,macro_auroc,0.8551661535007998,0.005741177068010147,10,0.0035584184131069387
0.07,missing_drift,nll,1.594609146370236,0.11165407607552064,10,0.06920391332631048
0.07,reported_fault,aurc,0.23159208931800626,0.01317225958857585,10,0.00816425107725486
0.07,reported_fault,macro_auroc,0.8456796721138928,0.007161821252712504,10,0.004438942801300086
0.07,reported_fault,nll,1.6881912612931476,0.11420876984461958,10,0.0707873289290907
0.07,silent_fault,aurc,0.2760171719012591,0.016950089004201318,10,0.010505774007986897
0.07,silent_fault,macro_auroc,0.8184538493625025,0.008696407824472497,10,0.005390089412660403
0.07,silent_fault,nll,2.0577050986807803,0.15482193026155217,10,0.09595962654856963
0.15,complete_drift,aurc,0.18943183082764808,0.02809337938613093,10,0.017412456942153754
0.15,complete_drift,macro_auroc,0.872493404448686,0.01015110015596023,10,0.006291717060867658
0.15,complete_drift,nll,1.4885140131953707,0.12917656600808958,10,0.08006446510531096
0.15,missing_drift,aurc,0.22439464483401078,0.020542273976575893,10,0.012732233320696102
0.15,missing_drift,macro_auroc,0.8548266687633994,0.00779699246453561,10,0.004832625997072021
0.15,missing_drift,nll,1.6478484766613737,0.12824757486707508,10,0.07948867043069295
0.15,reported_fault,aurc,0.23618225487710598,0.01858528219302781,10,0.011519277246639658
0.15,reported_fault,macro_auroc,0.8470982479587985,0.008176200237834757,10,0.0050676614100049755
0.15,reported_fault,nll,1.7238718180037176,0.12186050529511637,10,0.07552992369610909
0.15,silent_fault,aurc,0.2715563722722294,0.026978557665564597,10,0.01672148328103834
0.15,silent_fault,macro_auroc,0.823791948239067,0.013239321778310796,10,0.008205816653085254
0.15,silent_fault,nll,2.0255793654834746,0.2028924609989226,10,0.1257540501793615
0.3,complete_drift,aurc,0.18075358251376952,0.013897042857504299,10,0.008613476401454922
0.3,complete_drift,macro_auroc,0.8741627492522983,0.007880784780197618,10,0.004884561012382724
0.3,complete_drift,nll,1.4775948355384088,0.11860432577128419,10,0.07351172271802948
0.3,missing_drift,aurc,0.21521861359580088,0.014035755157136188,10,0.008699451175492957
0.3,missing_drift,macro_auroc,0.8571832995973766,0.007916757336525396,10,0.004906857033788603
0.3,missing_drift,nll,1.6399357790672648,0.1403500355133243,10,0.08698985325389433
0.3,reported_fault,aurc,0.22829398270137818,0.013553875983684223,10,0.008400779369451878
0.3,reported_fault,macro_auroc,0.8484942715008422,0.007899575311005784,10,0.004896207504039008
0.3,reported_fault,nll,1.7368828835555317,0.1414580125934928,10,0.08767658456293903
0.3,silent_fault,aurc,0.26037951110384217,0.020299373826697577,10,0.0125816822480442
0.3,silent_fault,macro_auroc,0.8285196488172376,0.011556127127664585,10,0.00716256180016038
0.3,silent_fault,nll,1.993388887607706,0.18971000185512296,10,0.1175834773522836
