model,regime,metric,mean,sd,n,ci95
CFA,complete_drift,accuracy,0.5942254812098992,0.01962623640981513,10,0.012164467354580561
CFA,complete_drift,aurc,0.18175797432782684,0.018186218805175014,10,0.011271935196305647
CFA,complete_drift,ece,0.16101731649957646,0.02260593016739529,10,0.014011300679313386
CFA,complete_drift,macro_auroc,0.872292025204429,0.0060021406820180215,10,0.003720165336818944
CFA,complete_drift,macro_f1,0.5713867184894372,0.016809128857927746,10,0.01041840600416604
CFA,complete_drift,nll,1.4500069895950989,0.07995581047197538,10,0.0495571247582122
CFA,missing_drift,accuracy,0.5675297891842346,0.015448938980392991,10,0.009575351583756237
CFA,missing_drift,aurc,0.2211563571897001,0.013922964176079211,10,0.008629542601158627
CFA,missing_drift,ece,0.1852168436970572,0.02099308724337876,10,0.013011650278309677
CFA,missing_drift,macro_auroc,0.8519751481389886,0.003931041234218778,10,0.0024364845997294714
CFA,missing_drift,macro_f1,0.547057956256487,0.013276502782462462,10,0.008228861678212296
CFA,missing_drift,nll,1.6242925461002546,0.10311859784637908,10,0.06391356911022837
CFA,reported_fault,accuracy,0.5528185151237397,0.014546108603710688,10,0.009015771518859883
CFA,reported_fault,aurc,0.23780587165296052,0.013116748900280922,10,0.008129845196193716
CFA,reported_fault,ece,0.20454904543223948,0.024259080680723126,10,0.01503593398300312
CFA,reported_fault,macro_auroc,0.8415913969223592,0.00503454384373306,10,0.0031204426031303583
CFA,reported_fault,macro_f1,0.5322060053884032,0.012725961401617353,10,0.007887632595121926
CFA,reported_fault,nll,1.739504407326433,0.12740499604467873,10,0.07896643466604193
CFA,silent_fault,accuracy,0.5144592117323556,0.01043366820700013,10,0.006466854553382694
CFA,silent_fault,aurc,0.30288498376321843,0.01101260566613975,10,0.006825683708142379
CFA,silent_fault,ece,0.2578616780270741,0.021924794760522944,10,0.013589128580295774
CFA,silent_fault,macro_auroc,0.8018400626923159,0.00797821818642825,10,0.004944950863222663
CFA,silent_fault,macro_f1,0.4957001853552375,0.009636202078174871,10,0.005972579925893379
CFA,silent_fault,nll,2.3234870965526753,0.23546090312499185,10,0.14594017974386558
CRF,complete_drift,accuracy,0.5999083409715857,0.030535818567302888,10,0.018926296430505998
CRF,complete_drift,aurc,0.18943183082764808,0.02809337938613093,10,0.017412456942153754
CRF,complete_drift,ece,0.1734530322308337,0.03250933293431175,10,0.020149493307889437
CRF,complete_drift,macro_auroc,0.872493404448686,0.01015110015596023,10,0.006291717060867658
CRF,complete_drift,macro_f1,0.5699093627206439,0.03067437378275294,10,0.019012173842759432
CRF,complete_drift,nll,1.4885140131953707,0.12917656600808958,10,0.08006446510531096
CRF,missing_drift,accuracy,0.5743813015582034,0.023601631266777563,10,0.014628442614498593
CRF,missing_drift,aurc,0.22439464483401078,0.020542273976575893,10,0.012732233320696102
CRF,missing_drift,ece,0.19359208383895357,0.028398754817643725,10,0.01760173059554104
CRF,missing_drift,macro_auroc,0.8548266687633994,0.00779699246453561,10,0.004832625997072021
CRF,missing_drift,macro_f1,0.5465501495829674,0.024052595438722995,10,0.014907953104088548
CRF,missing_drift,nll,1.6478484766613737,0.12824757486707508,10,0.07948867043069295
CRF,reported_fault,accuracy,0.563634280476627,0.022342913114545566,10,0.013848281021021267
CRF,reported_fault,aurc,0.23618225487710598,0.01858528219302781,10,0.011519277246639658
CRF,reported_fault,ece,0.20204383563062503,0.026360149422790392,10,0.016338189881124527
CRF,reported_fault,macro_auroc,0.8470982479587985,0.008176200237834757,10,0.0050676614100049755
CRF,reported_fault,macro_f1,0.5382111452828402,0.022083059451987762,10,0.01368722205234545
CRF,reported_fault,nll,1.7238718180037176,0.12186050529511637,10,0.07552992369610909
CRF,silent_fault,accuracy,0.532813932172319,0.02435915205142844,10,0.015097958861163873
CRF,silent_fault,aurc,0.2715563722722294,0.026978557665564597,10,0.01672148328103834
CRF,silent_fault,ece,0.24202254037214846,0.028045118792127753,10,0.01738254471609034
CRF,silent_fault,macro_auroc,0.823791948239067,0.013239321778310796,10,0.008205816653085254
CRF,silent_fault,macro_f1,0.5126886727707509,0.024820980720721524,10,0.01538420323597511
CRF,silent_fault,nll,2.0255793654834746,0.2028924609989226,10,0.1257540501793615
CRF_NR,complete_drift,accuracy,0.59557745187901,0.02163943992162871,10,0.013412263818773562
CRF_NR,complete_drift,aurc,0.18137080507681008,0.012338145233989121,10,0.007647261644105925
CRF_NR,complete_drift,ece,0.1597351007098648,0.024074593512576712,10,0.014921587651521361
CRF_NR,complete_drift,macro_auroc,0.8712478640949239,0.0073439415544830815,10,0.004551822133803521
CRF_NR,complete_drift,macro_f1,0.5741795733722705,0.020563799153208887,10,0.012745574763394852
CRF_NR,complete_drift,nll,1.4437684012639989,0.10489998768000312,10,0.06501768596811276
CRF_NR,missing_drift,accuracy,0.5704170485792851,0.016563229280917458,10,0.01026599586731724
CRF_NR,missing_drift,aurc,0.21992428245909118,0.011686439120530906,10,0.007243330010123446
CRF_NR,missing_drift,ece,0.18094079838323002,0.022958804301662975,10,0.014230014333675996
CRF_NR,missing_drift,macro_auroc,0.8520960207382992,0.006794476567025039,10,0.004211260206246401
CRF_NR,missing_drift,macro_f1,0.5509552326539106,0.01640856116975087,10,0.010170131578831464
CRF_NR,missing_drift,nll,1.6051195016932194,0.1309656185667841,10,0.08117333136939939
CRF_NR,reported_fault,accuracy,0.5542850595783685,0.017552514479747858,10,0.010879161186141375
CRF_NR,reported_fault,aurc,0.23825587629530537,0.013639286458823709,10,0.008453717330397558
CRF_NR,reported_fault,ece,0.2023314338737431,0.02447190767359885,10,0.015167845519833257
CRF_NR,reported_fault,macro_auroc,0.8410580201301345,0.008124091109082006,10,0.005035363837390825
CRF_NR,reported_fault,macro_f1,0.534933882233436,0.017057061588810454,10,0.010572076302840646
CRF_NR,reported_fault,nll,1.7238669269067501,0.14445791981789963,10,0.08953594632420962
CRF_NR,silent_fault,accuracy,0.5180109990834098,0.016973496108311153,10,0.010520281881420387
CRF_NR,silent_fault,aurc,0.30020402933961804,0.013800349327720653,10,0.008553545130787862
CRF_NR,silent_fault,ece,0.2524717348985422,0.024169780639955712,10,0.014980585244304819
CRF_NR,silent_fault,macro_auroc,0.8029755916743044,0.009983902998477819,10,0.006188087189021402
CRF_NR,silent_fault,macro_f1,0.5004129554314547,0.016594206050757274,10,0.01028519546817797
CRF_NR,silent_fault,nll,2.2776862697829094,0.2163751671489945,10,0.134110718028931
EF,complete_drift,accuracy,0.62467919340055,0.01290274697645205,10,0.007997205429614126
EF,complete_drift,aurc,0.18771373082413564,0.009518117052428164,10,0.0058993900686652116
EF,complete_drift,ece,0.19902223765535929,0.025849261385355517,10,0.016021538194909524
