seed,model,stress_type,level,metric,value
101,UF,severity,0.0,macro_auroc,0.8686432483061655
101,UF,severity,0.0,nll,1.469891667783676
101,UF,severity,0.0,aurc,0.18504468622086317
101,UF,severity,1.0,macro_auroc,0.8481682332169972
101,UF,severity,1.0,nll,1.7298980526160133
101,UF,severity,1.0,aurc,0.21596322791781009
101,UF,severity,2.0,macro_auroc,0.8264707006766505
101,UF,severity,2.0,nll,2.074669283871077
101,UF,severity,2.0,aurc,0.2489113638621669
101,UF,severity,3.0,macro_auroc,0.8092944201812872
101,UF,severity,3.0,nll,2.395039130051333
101,UF,severity,3.0,aurc,0.27772226569773045
101,UF,severity,4.0,macro_auroc,0.7950105751203268
101,UF,severity,4.0,nll,2.676689362862834
101,UF,severity,4.0,aurc,0.29995021520848386
101,UF,severity,5.0,macro_auroc,0.7830193068214525
101,UF,severity,5.0,nll,2.9127648597194713
101,UF,severity,5.0,aurc,0.3199640172177475
101,UF,fraction,0.1,macro_auroc,0.8548096985538803
101,UF,fraction,0.1,nll,1.6847876499925916
101,UF,fraction,0.1,aurc,0.20617722429644514
101,UF,fraction,0.25,macro_auroc,0.8290883790471909
101,UF,fraction,0.25,nll,2.081504899275816
101,UF,fraction,0.25,aurc,0.24128154513151007
101,UF,fraction,0.4,macro_auroc,0.8092944201812872
101,UF,fraction,0.4,nll,2.395039130051333
101,UF,fraction,0.4,aurc,0.27772226569773045
101,UF,fraction,0.6,macro_auroc,0.7790791610655412
101,UF,fraction,0.6,nll,2.935688794854245
101,UF,fraction,0.6,aurc,0.3207315393792091
101,UF,fraction,0.8,macro_auroc,0.7546394466007368
101,UF,fraction,0.8,nll,3.4511621767510743
101,UF,fraction,0.8,aurc,0.3521772303574378
101,UF,fault_modality,0.0,macro_auroc,0.8092944201812872
101,UF,fault_modality,0.0,nll,2.395039130051333
101,UF,fault_modality,0.0,aurc,0.27772226569773045
101,UF,fault_modality,1.0,macro_auroc,0.7995430541568725
101,UF,fault_modality,1.0,nll,2.619747154015722
101,UF,fault_modality,1.0,aurc,0.3199889822464351
101,UF,fault_modality,2.0,macro_auroc,0.8283535930760952
101,UF,fault_modality,2.0,nll,2.0641704192293995
101,UF,fault_modality,2.0,aurc,0.2612915951119917
101,UF,fault_modality,3.0,macro_auroc,0.8171673156390556
101,UF,fault_modality,3.0,nll,2.2498529996486374
101,UF,fault_modality,3.0,aurc,0.28162742805677543
101,UF,reported_quality,0.15,macro_auroc,0.8092944201812872
101,UF,reported_quality,0.15,nll,2.395039130051333
101,UF,reported_quality,0.15,aurc,0.27772226569773045
101,UF,reported_quality,0.4,macro_auroc,0.8092944201812872
101,UF,reported_quality,0.4,nll,2.395039130051333
101,UF,reported_quality,0.4,aurc,0.27772226569773045
101,UF,reported_quality,0.7,macro_auroc,0.8092944201812872
101,UF,reported_quality,0.7,nll,2.395039130051333
101,UF,reported_quality,0.7,aurc,0.27772226569773045
101,UF,reported_quality,1.0,macro_auroc,0.8092944201812872
101,UF,reported_quality,1.0,nll,2.395039130051333
101,UF,reported_quality,1.0,aurc,0.27772226569773045
101,RWF,severity,0.0,macro_auroc,0.8548007193663598
101,RWF,severity,0.0,nll,1.6164590520174926
101,RWF,severity,0.0,aurc,0.22431307163729458
101,RWF,severity,1.0,macro_auroc,0.8301535942665081
101,RWF,severity,1.0,nll,1.895424577070053
101,RWF,severity,1.0,aurc,0.2609087854804672
101,RWF,severity,2.0,macro_auroc,0.8047758521214087
101,RWF,severity,2.0,nll,2.2745723293132722
101,RWF,severity,2.0,aurc,0.30131952855798816
101,RWF,severity,3.0,macro_auroc,0.7855264453169214
101,RWF,severity,3.0,nll,2.611767715182315
101,RWF,severity,3.0,aurc,0.33192032049597214
101,RWF,severity,4.0,macro_auroc,0.7707638820831088
101,RWF,severity,4.0,nll,2.890472052854709
101,RWF,severity,4.0,aurc,0.354605891070023
101,RWF,severity,5.0,macro_auroc,0.7594381014676775
101,RWF,severity,5.0,nll,3.130428661505742
101,RWF,severity,5.0,aurc,0.3731353315774857
101,RWF,fraction,0.1,macro_auroc,0.8385208942963104
101,RWF,fraction,0.1,nll,1.8525953482472324
101,RWF,fraction,0.1,aurc,0.24852180176543207
101,RWF,fraction,0.25,macro_auroc,0.811192256036004
101,RWF,fraction,0.25,nll,2.243401863818866
101,RWF,fraction,0.25,aurc,0.2910853084833578
101,RWF,fraction,0.4,macro_auroc,0.7855264453169214
101,RWF,fraction,0.4,nll,2.611767715182315
101,RWF,fraction,0.4,aurc,0.33192032049597214
101,RWF,fraction,0.6,macro_auroc,0.7578094765663614
101,RWF,fraction,0.6,nll,3.1343804564258697
101,RWF,fraction,0.6,aurc,0.37684877544968404
101,RWF,fraction,0.8,macro_auroc,0.7342220501511871
101,RWF,fraction,0.8,nll,3.6382080085523576
101,RWF,fraction,0.8,aurc,0.4091326488082251
101,RWF,fault_modality,0.0,macro_auroc,0.7855264453169214
101,RWF,fault_modality,0.0,nll,2.611767715182315
101,RWF,fault_modality,0.0,aurc,0.33192032049597214
101,RWF,fault_modality,1.0,macro_auroc,0.7762764321718998
101,RWF,fault_modality,1.0,nll,2.846720184671588
101,RWF,fault_modality,1.0,aurc,0.34504199456218454
101,RWF,fault_modality,2.0,macro_auroc,0.8119835782356057
101,RWF,fault_modality,2.0,nll,2.211461159865096
101,RWF,fault_modality,2.0,aurc,0.2900071465219156
101,RWF,fault_modality,3.0,macro_auroc,0.7817162857395238
101,RWF,fault_modality,3.0,nll,2.709173125341953
101,RWF,fault_modality,3.0,aurc,0.3446827723195311
101,RWF,reported_quality,0.15,macro_auroc,0.8395547292915807
101,RWF,reported_quality,0.15,nll,1.792879491256321
101,RWF,reported_quality,0.15,aurc,0.2469497478042096
101,RWF,reported_quality,0.4,macro_auroc,0.8176726191149594
101,RWF,reported_quality,0.4,nll,2.100426601626889
101,RWF,reported_quality,0.4,aurc,0.2809461426247051
