model,stress_type,level,metric,mean,sd,n,ci95
CFA,fault_modality,0.0,aurc,0.3032740750476579,0.015255489994198724,10,0.009455450659901065
CFA,fault_modality,0.0,macro_auroc,0.8011506047199426,0.009466353137112688,10,0.005867306461556236
CFA,fault_modality,0.0,nll,2.3327713678824225,0.22235691951974054,10,0.1378182465595022
CFA,fault_modality,1.0,aurc,0.3143685598893021,0.027492603838999916,10,0.017040092400226053
CFA,fault_modality,1.0,macro_auroc,0.7964367960354919,0.011118284307569629,10,0.006891184008704706
CFA,fault_modality,1.0,nll,2.4888056981353777,0.17676168561701766,10,0.10955802780167864
CFA,fault_modality,2.0,aurc,0.308178597136292,0.02088740683654299,10,0.012946148883537439
CFA,fault_modality,2.0,macro_auroc,0.8016380146522106,0.007381610624913519,10,0.004575169665544211
CFA,fault_modality,2.0,nll,2.3420305700914352,0.10976346426811213,10,0.06803209998771725
CFA,fault_modality,3.0,aurc,0.3567137806838475,0.015072198737005318,10,0.009341845561707396
CFA,fault_modality,3.0,macro_auroc,0.7747124141447642,0.005206940540368982,10,0.0032272951827322445
CFA,fault_modality,3.0,nll,2.8404931773857496,0.19112746417151735,10,0.11846202959806744
CFA,fraction,0.1,aurc,0.242691036496323,0.013391863987666132,10,0.008300363293977167
CFA,fraction,0.1,macro_auroc,0.8389278013840744,0.00555571089809078,10,0.003443465290039749
CFA,fraction,0.1,nll,1.797810029211556,0.13824451874822444,10,0.0856848404425348
CFA,fraction,0.25,aurc,0.2753807680705313,0.012007915845636095,10,0.007442583348672035
CFA,fraction,0.25,macro_auroc,0.8189805426825119,0.007055021772166234,10,0.0043727477974560705
CFA,fraction,0.25,nll,2.0689569177034945,0.18998230322417334,10,0.11775225148937513
CFA,fraction,0.4,aurc,0.3032740750476579,0.015255489994198724,10,0.009455450659901065
CFA,fraction,0.4,macro_auroc,0.8011506047199426,0.009466353137112688,10,0.005867306461556236
CFA,fraction,0.4,nll,2.3327713678824225,0.22235691951974054,10,0.1378182465595022
CFA,fraction,0.6,aurc,0.3419809377841351,0.017549439426124698,10,0.010877255248159613
CFA,fraction,0.6,macro_auroc,0.7771300399946359,0.011510755123542186,10,0.007134439940653849
CFA,fraction,0.6,nll,2.7128836429615872,0.3173739298530537,10,0.19671039970565493
CFA,fraction,0.8,aurc,0.3778981084116607,0.022459083132125204,10,0.013920283943890464
CFA,fraction,0.8,macro_auroc,0.7561370756970079,0.013502213498496724,10,0.008368758629387544
CFA,fraction,0.8,nll,3.0724977307971186,0.3922403675154665,10,0.2431130985156373
CFA,reported_quality,0.15,aurc,0.23916626801705423,0.015562422755868133,10,0.009645689556519652
CFA,reported_quality,0.15,macro_auroc,0.8414291439307504,0.005577538196954386,10,0.0034569939900370764
CFA,reported_quality,0.15,nll,1.736685723678732,0.12072378757412482,10,0.0748253787533273
CFA,reported_quality,0.4,aurc,0.26178977698338,0.015020170717984128,10,0.009309598261425705
CFA,reported_quality,0.4,macro_auroc,0.8270540745986734,0.007207415087860879,10,0.004467202153100983
CFA,reported_quality,0.4,nll,1.927469252506808,0.16118124606104975,10,0.0999011713167642
CFA,reported_quality,0.7,aurc,0.28543443855926487,0.015063651934662376,10,0.009336548198732864
CFA,reported_quality,0.7,macro_auroc,0.8124802319087655,0.008599493098021126,10,0.005330021042878297
CFA,reported_quality,0.7,nll,2.1473789961378897,0.19762544145277916,10,0.12248951764305933
CFA,reported_quality,1.0,aurc,0.3032740750476579,0.015255489994198724,10,0.009455450659901065
CFA,reported_quality,1.0,macro_auroc,0.8011506047199426,0.009466353137112688,10,0.005867306461556236
CFA,reported_quality,1.0,nll,2.3327713678824225,0.22235691951974054,10,0.1378182465595022
