method,seed,parameters,train_seconds,wall_seconds,inference_seconds,epochs
ENT-PD,101,17560,11.538437900002464,12.736287699997774,0.005163099995115772,25
ENT-PD,102,17560,6.5205518000002485,6.553364899998996,0.006027299998095259,14
ENT-PD,103,17560,8.54601000000548,8.577186199996504,0.004174700006842613,18
ENT-PD,104,17560,13.573977699998068,13.602876000004471,0.004300100001273677,29
ENT-PD,105,17560,8.143152799995732,8.174839400002384,0.004328000009991229,19
ENT-PD,106,17560,8.785754200012889,8.817350299999816,0.0046621000074082986,19
ENT-PD,107,17560,13.379994799994165,13.413215599997784,0.006076899997424334,28
ENT-PD,108,17560,13.757633599991095,13.780532799995854,0.00482259999262169,31
ENT-PD,109,17560,9.409833500001696,9.438867700009723,0.004504199998336844,21
ENT-PD,110,17560,9.54140180000104,9.57356209999125,0.006228700003703125,20
