method,pool,subset,metric,value
ENT-PD,probability_mean,all,accuracy,0.5313932172318974
ENT-PD,probability_mean,all,macro_f1,0.5182114322493482
ENT-PD,probability_mean,all,macro_auroc,0.8227135632638255
ENT-PD,probability_mean,all,macro_auprc,0.5746325271738245
ENT-PD,probability_mean,all,nll,1.606642531412411
ENT-PD,probability_mean,all,brier,0.6361087693897964
ENT-PD,probability_mean,all,ece15,0.16952880209023313
ENT-PD,probability_mean,affected,accuracy,0.46855524079320116
ENT-PD,probability_mean,affected,macro_f1,0.4622700456178596
ENT-PD,probability_mean,affected,macro_auroc,0.7749130114526886
ENT-PD,probability_mean,affected,macro_auprc,0.5010247750995479
ENT-PD,probability_mean,affected,nll,2.0497849577987157
ENT-PD,probability_mean,affected,brier,0.748827129553464
ENT-PD,probability_mean,affected,ece15,0.2345360989948846
ENT-PD,probability_mean,unaffected,accuracy,0.5740669488264717
ENT-PD,probability_mean,unaffected,macro_f1,0.5544172220897178
ENT-PD,probability_mean,unaffected,macro_auroc,0.8570512524744305
ENT-PD,probability_mean,unaffected,macro_auprc,0.631125082807155
ENT-PD,probability_mean,unaffected,nll,1.3057012530084762
ENT-PD,probability_mean,unaffected,brier,0.5595609026376329
ENT-PD,probability_mean,unaffected,ece15,0.12538192496019035
