method,seed,subset,metric,value
ENT-PD,101,all,accuracy,0.5311640696608616
ENT-PD,101,all,macro_f1,0.5077630498838092
ENT-PD,101,all,macro_auroc,0.8154215829243765
ENT-PD,101,all,macro_auprc,0.5551822258884168
ENT-PD,101,all,nll,2.364293750948205
ENT-PD,101,all,brier,0.7202184161181548
ENT-PD,101,all,ece15,0.2871184121137852
ENT-PD,101,affected,accuracy,0.458356940509915
ENT-PD,101,affected,macro_f1,0.442459341626885
ENT-PD,101,affected,macro_auroc,0.7652850924834443
ENT-PD,101,affected,macro_auprc,0.48337371788205047
ENT-PD,101,affected,nll,3.1790364843469283
ENT-PD,101,affected,brier,0.86900803120119
ENT-PD,101,affected,ece15,0.37090828718443436
ENT-PD,101,unaffected,accuracy,0.5806079261254329
ENT-PD,101,unaffected,macro_f1,0.5510679981723038
ENT-PD,101,unaffected,macro_auroc,0.8540188588631373
ENT-PD,101,unaffected,macro_auprc,0.6147018400856871
ENT-PD,101,unaffected,nll,1.810995973168772
ENT-PD,101,unaffected,brier,0.619174295063304
ENT-PD,101,unaffected,ece15,0.23021607275832934
ENT-PD,102,all,accuracy,0.4823556370302475
ENT-PD,102,all,macro_f1,0.4755352268377062
ENT-PD,102,all,macro_auroc,0.7775468542398056
ENT-PD,102,all,macro_auprc,0.4904823841077189
ENT-PD,102,all,nll,1.9996684632239516
ENT-PD,102,all,brier,0.7299425460512418
ENT-PD,102,all,ece15,0.21499524218406726
ENT-PD,102,affected,accuracy,0.40906515580736547
ENT-PD,102,affected,macro_f1,0.4111425466784581
ENT-PD,102,affected,macro_auroc,0.7206861004220153
ENT-PD,102,affected,macro_auprc,0.4203627026233483
ENT-PD,102,affected,nll,2.666083055595519
ENT-PD,102,affected,brier,0.876782411314155
ENT-PD,102,affected,ece15,0.3275529620161137
ENT-PD,102,unaffected,accuracy,0.532127741439015
ENT-PD,102,unaffected,macro_f1,0.5166942428309045
ENT-PD,102,unaffected,macro_auroc,0.8253776715990969
ENT-PD,102,unaffected,macro_auprc,0.5574903023389498
ENT-PD,102,unaffected,nll,1.5471014160766576
ENT-PD,102,unaffected,brier,0.630222514427909
ENT-PD,102,unaffected,ece15,0.1412488588373126
ENT-PD,103,all,accuracy,0.5231439046746105
ENT-PD,103,all,macro_f1,0.5088864537887462
ENT-PD,103,all,macro_auroc,0.8038550268789155
ENT-PD,103,all,macro_auprc,0.5311455339337277
ENT-PD,103,all,nll,2.156838561892647
ENT-PD,103,all,brier,0.706509150332445
ENT-PD,103,all,ece15,0.24862616274277077
ENT-PD,103,affected,accuracy,0.43569405099150144
ENT-PD,103,affected,macro_f1,0.43291935757005673
ENT-PD,103,affected,macro_auroc,0.745763752174072
ENT-PD,103,affected,macro_auprc,0.44966682930270435
ENT-PD,103,affected,nll,3.089108383924149
ENT-PD,103,affected,brier,0.8728170443503012
ENT-PD,103,affected,ece15,0.3680475649600664
ENT-PD,103,unaffected,accuracy,0.5825317429780685
ENT-PD,103,unaffected,macro_f1,0.5558776202592501
ENT-PD,103,unaffected,macro_auroc,0.8512850467929723
ENT-PD,103,unaffected,macro_auprc,0.6051763195037271
ENT-PD,103,unaffected,nll,1.523727274518426
ENT-PD,103,unaffected,brier,0.5935682373114692
ENT-PD,103,unaffected,ece15,0.16754711519392146
