method,subset,metric,mean,std
CAGF,affected,ece15,0.27742576969750543,0.0589897429087118
CAGF,affected,macro_auprc,0.50462969009541,0.040779844119878346
CAGF,affected,macro_auroc,0.7917117644558871,0.02696858252456353
CAGF,affected,nll,2.095334682452395,0.3431498666203706
CAGF,all,ece15,0.23316262080705458,0.05537077156077128
CAGF,all,macro_auprc,0.5424216983552667,0.037047664545409247
CAGF,all,macro_auroc,0.8171219943117386,0.021103241991788493
CAGF,all,nll,1.8284365000248528,0.2855864485700527
CAGF,unaffected,ece15,0.2034717631763153,0.05882923412569469
CAGF,unaffected,macro_auprc,0.5763584076892933,0.03522310418119487
CAGF,unaffected,macro_auroc,0.8361527717226798,0.017810098108425047
CAGF,unaffected,nll,1.6471839829088033,0.257521437552604
ENT-PD,affected,ece15,0.34818809566602493,0.021091001886171076
ENT-PD,affected,macro_auprc,0.46670205129811604,0.019857515332073392
ENT-PD,affected,macro_auroc,0.754107394870536,0.013643228839606846
ENT-PD,affected,nll,2.8477247000937704,0.24250025774598846
ENT-PD,all,ece15,0.2583734463941302,0.03056990506006176
ENT-PD,all,macro_auprc,0.5370679168827736,0.018946818040196028
ENT-PD,all,macro_auroc,0.8038932683815709,0.010849641735377325
ENT-PD,all,nll,2.12409187165089,0.16028353813574434
ENT-PD,unaffected,ece15,0.1977573366865097,0.03998224479848601
ENT-PD,unaffected,macro_auprc,0.5983577546741923,0.019758109172464747
ENT-PD,unaffected,macro_auroc,0.8429628924525666,0.009691690699415544
ENT-PD,unaffected,nll,1.6326674998918738,0.1394511040390097
PDRF,affected,ece15,0.3693941065018981,0.028240907422753075
PDRF,affected,macro_auprc,0.50880530751598,0.020230369332219552
PDRF,affected,macro_auroc,0.7907121977222623,0.010141090925105078
PDRF,affected,nll,3.085467347967464,0.3923882399226896
PDRF,all,ece15,0.2890890978515749,0.02759491560932945
PDRF,all,macro_auprc,0.5797266794397139,0.01524326679403482
PDRF,all,macro_auroc,0.8338161728073181,0.006337809631722076
PDRF,all,nll,2.344823442061133,0.25125446291359094
PDRF,unaffected,ece15,0.23465635832821966,0.029375794879778178
PDRF,unaffected,macro_auprc,0.642635111639607,0.009055709346390415
PDRF,unaffected,macro_auroc,0.8667571409226513,0.003958939093202635
PDRF,unaffected,nll,1.8418467225826123,0.18982249192818273
PDRF_RCIA_R30,affected,ece15,0.3440933712717494,0.027649734097160893
PDRF_RCIA_R30,affected,macro_auprc,0.5267835269478395,0.014151580073481239
PDRF_RCIA_R30,affected,macro_auroc,0.8038420324352549,0.00932745736814319
PDRF_RCIA_R30,affected,nll,2.6929375375630977,0.34227873603624304
PDRF_RCIA_R30,all,ece15,0.27715847285363676,0.02506511785492605
PDRF_RCIA_R30,all,macro_auprc,0.5887423079212808,0.014177501571561588
PDRF_RCIA_R30,all,macro_auroc,0.8396251367267455,0.007266010784412425
PDRF_RCIA_R30,all,nll,2.154366869187002,0.22727196322436005
PDRF_RCIA_R30,unaffected,ece15,0.2319795933949484,0.025574320209583386
PDRF_RCIA_R30,unaffected,macro_auprc,0.6418923881147304,0.015693847484511237
PDRF_RCIA_R30,unaffected,macro_auroc,0.8665176969996035,0.006693959013490371
PDRF_RCIA_R30,unaffected,nll,1.788619570347521,0.1676582542679743
